LOC,DAY,IS_OPEN,MSG,SOUPS,DELI AND SALAD BAR,ENTREES,BEAR FIT,GRILLED,PIZZAS,PASTAS,DESSERTS,FUSION,CENTER OF THE PLATE,SPECIALTY SALADS,KOSHER ENTREES,KOSHER DELI
Crossroad,0,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Butternut Squash and Apple Soup"": [""Milk"", ""Contains Alcohol""], ""Three Bean Chili"": [""Vegan Option""]}","{""Black Bean & Corn Salad"": [""Vegan Option""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}","{""Beef Lomo Saltado"": [""Soybeans""], ""Vegetable Lomo Saltado"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Long Grain Rice"": [""Vegan Option""], ""Green Bean Radish and Corn"": [""Vegan Option""]}","{""Spring Mix"": [""Vegan Option""], ""Red Rice"": [""Vegan Option""], ""Yukon Potatoes"": [""Vegan Option""], ""Black Beans"": [""Vegan Option""], ""Romano Beans"": [""Vegan Option""], ""Cabbage Stir Fry"": [""Vegan Option""], ""Roasted Kohlrabi Medley"": [""Vegan Option""], ""Halal Chicken"": [""Halal""], ""Halal Beef"": [""Halal""], ""Bear Fit Toppings"": [""Vegan Option""], ""Bear Fit Sauces"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Chicken Nugget"": [""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Vegan Nuggets"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Coleslaw"": [""Egg"", ""Vegetarian Option""]}","{""Sausage and Broccolini Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Contains Pork""], ""Broccolini and Calab Chili Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Butternut Squash Ravioli with Sage Brown Butter"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Garlic Bread"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Vegan Lemon Sugar Cookie"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Apple Pie"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""German Chocolate Cake"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Red Velvet Cupcakes"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}",,,,,
Crossroad,1,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Italian Wedding Soup"": [""Milk"", ""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Tomato Garden Soup"": [""Vegan Option""]}","{""Beet and Goat Cheese Salad"": [""Milk"", ""Vegetarian Option""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}","{""Chicken Tandoori"": [""Milk""], ""Tandoori Roasted Vegetables"": [""Vegan Option""], ""Vegetable Samosa"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""]}","{""Baby Spinach"": [""Vegan Option""], ""Hominy"": [""Vegan Option""], ""Millet"": [""Vegan Option""], ""Kidney Beans"": [""Vegan Option""], ""Pinto Beans"": [""Vegan Option""], ""Squash Medley"": [""Vegan Option""], ""Roasted Tomatoes"": [""Vegan Option""], ""Halal Chicken"": [""Halal""], ""Halal Beef"": [""Halal""], ""Bear Fit Toppings"": [""Vegan Option""], ""Bear Fit Sauces"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Pork Cubano Sandwich"": [""Milk"", ""Wheat"", ""Contains Gluten"", ""Contains Pork""], ""Boca Burger"": [""Wheat"", ""Soybeans"", ""Sesame"", ""Vegan Option"", ""Contains Gluten""], ""Housemade Chips"": [""Vegan Option""]}","{""Chicken Pesto and Roma Tomato Pizza"": [""Milk"", ""Wheat"", ""Contains Gluten""], ""Roma Tomato and Pesto Pizza"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Pasta Puttanesca"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Garlic Bread"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Heath Toffee Crunch Blondie"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Vegan Chocolate Chip Cookies"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Pumpkin Pie"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Mini Salted Truffle Cheesecake"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}",,,,,
Crossroad,2,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Chicken Noodle Soup"": [""Egg"", ""Wheat"", ""Contains Gluten""], ""Carrot Ginger Soup"": [""Soybeans"", ""Sesame"", ""Vegan Option""]}","{""Potato Salad"": [""Egg"", ""Vegetarian Option"", ""Contains Alcohol""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}","{""Chicken Adobo"": [""Soybeans""], ""Mushroom & Tofu Sisig"": [""Soybeans"", ""Vegan Option""], ""Vegan Rice Noodle Pancit"": [""Soybeans"", ""Vegan Option""], ""Sauteed Cabbage"": [""Sesame"", ""Vegan Option""]}","{""Arugula"": [""Vegan Option""], ""."": [], ""Butternut Squash"": [""Vegan Option""], ""Garbanzo Beans"": [""Vegan Option""], ""Navy Beans"": [""Vegan Option""], ""Haricot Vert"": [""Vegan Option""], ""Cabbage Stir Fry"": [""Vegan Option""], ""Halal Chicken"": [""Halal""], ""Halal Beef"": [""Halal""], ""Bear Fit Toppings"": [""Vegan Option""], ""Bear Fit Sauces"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""All Beef Corn Dog"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Vegan Sausage Sandwich"": [""Wheat"", ""Sesame"", ""Vegan Option"", ""Contains Gluten""], ""Garlic Fries"": [""Vegan Option""]}","{""Chorizo Tomato Corn and Pasilla Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Contains Gluten"", ""Contains Pork""], ""Tomato Corn and Pasilla Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Asparagus and Lemon Cream Pasta"": [""Milk"", ""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Garlic Bread"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Raspberry Sammie"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Carrot Cake"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Vegan Lemon Sugar Cookie"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Chocolate Brownie Bites"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}",,,,,
Crossroad,3,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""New England Clam Chowder"": [""Milk"", ""Fish"", ""Shellfish"", ""Wheat"", ""Contains Gluten""], ""Three Bean Chili"": [""Vegan Option""]}","{""Edamame & Corn Salad"": [""Soybeans"", ""Vegan Option""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}","{""Seoul Fries"": [""Egg"", ""Sesame""]}","{""Spring Mix"": [""Vegan Option""], ""Wild Rice"": [""Vegan Option""], ""Amaranth"": [""Vegan Option""], ""Romano Beans"": [""Vegan Option""], ""Cranberry Beans"": [""Vegan Option""], ""Stir Fry Eggplant"": [""Vegan Option""], ""Brussles Sprouts Medley"": [""Vegan Option""], ""Halal Chicken"": [""Halal""], ""Halal Beef"": [""Halal""], ""Bear Fit Toppings"": [""Vegan Option""], ""Bear Fit Sauces"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Fried Catfish"": [""Fish""], ""Tofu Bahn Mi"": [""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Coleslaw"": [""Egg"", ""Vegetarian Option""]}","{""Hawaiian Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Contains Pork""], ""Pineapple and Pepper Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Baked Penne"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Baguette"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""]}","{""Chocolate Chunk Brownie"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Luscious Lemon Bar"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Peach Pie"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Vanilla and Chocolate Cupcakes"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}",,,,,
Crossroad,4,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Hungarian Mushroom Soup"": [""Milk"", ""Contains Alcohol""], ""Chipotle Sweet Potato Soup"": [""Sesame"", ""Vegan Option""]}","{""Cucumber Tomato & Corn Salad"": [""Vegan Option""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}","{""Chicken Enchilada Casserole"": [""Milk"", ""Soybeans""], ""Vegan Strip Enchilada Casserole"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Spanish Rice"": [""Vegan Option""], ""Pinto Beans"": [""Vegan Option""], ""Sauteed Zucchini and Onions"": [""Vegan Option""]}","{""Baby Kale"": [""Vegan Option""], ""."": [], ""Sweet Potato"": [""Vegan Option""], ""Beans Medley"": [""Vegan Option""], ""Kidney Beans"": [""Vegan Option""], ""Halal Chicken"": [""Halal""], ""Halal Beef"": [""Halal""], ""Bear Fit Toppings"": [""Vegan Option""], ""Bear Fit Sauces"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Beef Sliders"": [""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Sunflower Cutlet Sandwich"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Truffle Fries"": [""Milk""]}","{""Meatball Parmesan Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Analogue Meatball Parmesan Pizza"": [""Milk"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten"", ""Contains Alcohol""]}","{""Artichoke Kalamata and Lemon Pasta"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Garlic Bread"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Vegan Oatmeal Raisin Cookies"": [""Wheat"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Cherry Pie"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""German Chocolate Cake"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Mini Black Truffle Cheesecake"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Peanuts"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}",,,,,
Crossroad,5,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Lobster Bisque"": [""Milk"", ""Fish"", ""Shellfish"", ""Wheat"", ""Contains Gluten"", ""Contains Alcohol""], ""Lentil Soup"": [""Vegan Option""]}","{""Herbed Pasta Salad"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}","{""Pork Fried Rice"": [""Soybeans"", ""Sesame"", ""Contains Pork""], ""Vegetarian Fried Rice"": [""Egg"", ""Soybeans"", ""Sesame"", ""Vegetarian Option"", ""Contains Alcohol""], ""Vegetable Potsticker"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Stir Fry Bok Choy"": [""Sesame"", ""Vegan Option""]}","{""Baby Spinach"": [""Vegan Option""], ""."": [], ""Hominy"": [""Vegan Option""], ""Beans Medley"": [""Vegan Option""], ""Garbanzo Beans"": [""Vegan Option""], ""Halal Chicken"": [""Halal""], ""Halal Beef"": [""Halal""], ""Bear Fit Toppings"": [""Vegan Option""], ""Bear Fit Sauces"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Fish Wedges"": [""Milk"", ""Egg"", ""Fish"", ""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Quinoa and Black Bean Wrap"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Steak Fries"": [""Vegan Option""]}","{""Meat Lovers Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Contains Pork""], ""Roasted Pepper Deluxe Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Vegetable Lasagna"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Baguette"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""]}","{""Raspberry Sammie"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Chocolate Chunk Brownie"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Vegan Chocolate Chip Cookies"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Red Velvet Cupcakes"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}",,,,,
Crossroad,6,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Hungarian Mushroom Soup"": [""Milk"", ""Contains Alcohol""], ""Lentil Soup"": [""Vegan Option""]}","{""Spicy Tofu & Spelt Salad"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}","{""Grilled Paprika Chicken"": [], ""Vegan Celebration Roast"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Creamy Polenta"": [""Soybeans"", ""Vegan Option""], ""Vegetable Medley"": [""Vegan Option""]}","{""Spring Mix"": [""Vegan Option""], ""Millet"": [""Vegan Option""], ""Acorn Squash"": [""Vegan Option""], ""Garbanzo Beans"": [""Vegan Option""], ""Black Beans"": [""Vegan Option""], ""Haricot Vert"": [""Vegan Option""], ""Roasted Peppers"": [""Vegan Option""], ""Halal Chicken"": [""Halal""], ""Halal Beef"": [""Halal""], ""Bear Fit Toppings"": [""Vegan Option""], ""Bear Fit Sauces"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}","{""Muffaletta Sandwich"": [""Milk"", ""Wheat"", ""Contains Gluten""], ""Vegetarian Muffaletta Sandwich"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Housemade Chips"": [""Vegan Option""]}","{""Ham Peas Basil and Fontina Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Contains Gluten"", ""Contains Pork""], ""Peas Basil and Fontina Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Spinach and Cream Pasta"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Dinner Roll"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""]}","{""Cherry Pie"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Carrot Cake"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Luscious Lemon Bar"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Mini Vanilla Cheesecake"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}",,,,,
Foothill,0,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Hungarian Mushroom Soup"": [""Milk"", ""Contains Alcohol""], ""Tomato Garden Soup"": [""Vegan Option""]}","{""Black Bean & Corn Salad"": [""Vegan Option""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}","{""Chicken Tikka Masala"": [""Milk""], ""Tofu Potato Masala"": [""Soybeans"", ""Vegan Option""], ""Fragrant Basmati Rice"": [""Vegan Option""], ""Saag"": [""Soybeans""], ""Naan"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""]}",,"{""Grilled Ham & Cheese Sandwich"": [""Milk"", ""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Contains Pork""], ""Grilled Cheese Sandwich"": [""Milk"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Housemade Chips"": [""Vegan Option""]}","{""Sausage Onion and Bell Pepper Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Contains Pork""], ""Mushroom Onion and Bell Pepper Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Mushroom Ragu"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""], ""Garlic Bread"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Vegan Lemon Sugar Cookie"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Apple Pie"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""German Chocolate Cake"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Red Velvet Cupcakes"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Pasta Bar"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}",,,,
Foothill,1,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Italian Wedding Soup"": [""Milk"", ""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Split Pea with Kale Soup"": [""Vegan Option""]}","{""Beet and Goat Cheese Salad"": [""Milk"", ""Vegetarian Option""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}","{""Baked Potato Bar"": [""Milk"", ""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Contains Pork""]}",,"{""Crispy Chicken Tenders"": [""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Chickenless Tenders"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""French Fries"": [""Vegan Option""]}","{""Pepperoni Pepperoncini Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Margherita Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Spinach and Cream Pasta"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Garlic Bread"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Heath Toffee Crunch Blondie"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Vegan Chocolate Chip Cookies"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Pumpkin Pie"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Mini Salted Truffle Cheesecake"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Burrito Bowl"": [""Milk"", ""Wheat"", ""Contains Gluten"", ""Contains Pork""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}",,,,
Foothill,2,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""Butternut Squash and Apple Soup"": [""Milk"", ""Contains Alcohol""], ""Three Bean Chili"": [""Vegan Option""]}","{""Potato Salad"": [""Egg"", ""Vegetarian Option"", ""Contains Alcohol""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}","{""Marsala Chicken"": [""Milk"", ""Wheat"", ""Contains Gluten""], ""Grilled Leeks and Cannilini Beans Stew"": [""Vegan Option""], ""Wild Rice Pilaf"": [""Vegan Option""], ""Vegetable Medley"": [""Vegan Option""]}",,"{""Reuben Sandwich"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Eggplant Reuben Sandwich"": [""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Potato Salad"": [""Egg"", ""Vegetarian Option"", ""Contains Alcohol""]}","{""Corn Chicken Pesto and Parmesan Cheese Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Contains Gluten""], ""Corn and Parmesan Cheese Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Vegetable Lasagna"": [""Milk"", ""Egg"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Garlic Bread"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Raspberry Sammie"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Carrot Cake"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Vegan Lemon Sugar Cookie"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Chocolate Brownie Bites"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Char Sui Pork"": [""Wheat"", ""Soybeans"", ""Sesame"", ""Contains Gluten"", ""Contains Pork""], ""Vegan Char Siu"": [""Wheat"", ""Soybeans"", ""Sesame"", ""Contains Gluten""], ""Singapore Noodles"": [""Wheat"", ""Sesame"", ""Vegan Option"", ""Contains Gluten"", ""Contains Alcohol""], ""Vegetable Stir Fry"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}",,,,
Foothill,3,True,Cal Dining is adjusting our service as a precaution against the spread of COVID-19. Menus are subject to change and all meals are currently to-go only. Thank you!,"{""New England Clam Chowder"": [""Milk"", ""Fish"", ""Shellfish"", ""Wheat"", ""Contains Gluten""], ""Carrot Ginger Soup"": [""Soybeans"", ""Sesame"", ""Vegan Option""]}","{""Edamame & Corn Salad"": [""Soybeans"", ""Vegan Option""], ""Salad Bar"": [""Milk"", ""Egg"", ""Fish"", ""Shellfish"", ""Wheat"", ""Soybeans"", ""Sesame""], ""Deli Bar"": []}","{""Bibimbap Bar"": [""Egg"", ""Sesame""]}",,"{""Fish Wedges"": [""Milk"", ""Egg"", ""Fish"", ""Wheat"", ""Soybeans"", ""Contains Gluten""], ""Boca Burger"": [""Wheat"", ""Soybeans"", ""Sesame"", ""Vegan Option"", ""Contains Gluten""], ""Steak Fries"": [""Vegan Option""]}","{""Hawaiian Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Contains Gluten"", ""Contains Pork""], ""Pineapple and Roasted Red Pepper Pizza"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Orecchiette Pasta with Pear and Asiago Cream"": [""Milk"", ""Wheat"", ""Contains Gluten""], ""Baguette"": [""Wheat"", ""Vegan Option"", ""Contains Gluten""]}","{""Chocolate Chunk Brownie"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Luscious Lemon Bar"": [""Milk"", ""Egg"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""], ""Peach Pie"": [""Wheat"", ""Soybeans"", ""Vegan Option"", ""Contains Gluten""], ""Vanilla and Chocolate Cupcakes"": [""Milk"", ""Egg"", ""Tree Nuts"", ""Wheat"", ""Soybeans"", ""Vegetarian Option"", ""Contains Gluten""]}","{""Beef Iskender Kebap"": [""Milk"", ""Wheat"", ""Contains Gluten""], ""Legume Iskander Kebap"": [""Milk"", ""Wheat"", ""Vegetarian Option"", ""Contains Gluten""], ""Rice Pilaf"": [""Vegan Option""], ""Turkish Vegetable Medley"": [""Vegan Option""], ""White Rice"": [""Vegan Option""], ""Brown Rice"": [""Vegan Option""]}",,,,
